year,event_type,gender,max_results_score,all_time_rank,event,category,event_rank,mark,competitor,nat,pos,date,venue,age,year_of_birth,event_name,environment,age_category
1973,sprints,women,1198.0,51746.0,Women's 200m,Outdoor Senior - Women,1085,22.38,Renate STECHER,GDR,1,1973-07-21,Dresden (GER),23.0,1950.0,200-metres,outdoor,senior
1974,sprints,men,1211.0,31113.0,Men's 200m,Outdoor Senior - Men,729,20.06,Don QUARRIE,JAM,1f1,1974-08-16,Zürich (SUI),23.0,1951.0,200-metres,outdoor,senior
1974,sprints,women,1216.0,24242.0,Women's 200m,Outdoor Senior - Women,511,22.21,Irena SZEWIŃSKA,POL,1,1974-06-13,Potsdam (GDR),28.0,1946.0,200-metres,outdoor,senior
1975,sprints,men,1218.0,22041.0,Men's 400m,Outdoor Senior - Men,496,44.45,Ronnie RAY,USA,1,1975-10-18,Ciudad de México (MEX),21.0,1954.0,400-metres,outdoor,senior
1975,sprints,women,1244.0,6050.0,Women's 300m,Outdoor Senior - Women,3,34.84,Rita WILDEN,FRG,1,1975-05-18,Dortmund (GER),28.0,1947.0,300-metres,outdoor,senior
1976,sprints,men,1232.0,11312.0,Men's 400m,Outdoor Senior - Men,250,44.26,Alberto JUANTORENA,CUB,1,1976-07-29,"Olympic Stadium, Montréal (CAN)",26.0,1950.0,400-metres,outdoor,senior
1976,sprints,women,1234.0,10173.0,Women's 400m,Outdoor Senior - Women,106,49.29,Irena SZEWIŃSKA,POL,1,1976-07-29,"Olympic Stadium, Montréal (CAN)",30.0,1946.0,400-metres,outdoor,senior
1977,sprints,men,1213.0,27830.0,Men's 100m,Outdoor Senior - Men,964,9.98,Silvio LEONARD,CUB,1,1977-08-11,Guadalajara (MEX),22.0,1955.0,100-metres,outdoor,senior
1977,sprints,women,1226.0,14970.0,Women's 100m,Outdoor Senior - Women,349,10.88,Marlies OELSNER,GDR,1,1977-07-01,Dresden (GER),19.0,1958.0,100-metres,outdoor,senior
1977,sprints,women,1226.0,14970.0,Women's 100m,Outdoor U20 - Women,4,10.88,Marlies OELSNER,GDR,1,1977-07-01,Dresden (GER),19.0,1958.0,100-metres,outdoor,u20
1978,sprints,men,1231.0,11767.0,Men's 400m,Outdoor Senior - Men,262,44.27,Alberto JUANTORENA,CUB,1,1978-07-16,Medellín (COL),28.0,1950.0,400-metres,outdoor,senior
1978,sprints,women,1248.0,4963.0,Women's 400m,Outdoor Senior - Women,37,48.94,Marita KOCH,GDR,1,1978-08-31,"Stadion Evžena Rošického, Praha (TCH)",21.0,1957.0,400-metres,outdoor,senior
1979,sprints,men,1264.0,2162.0,Men's 200m,Outdoor Senior - Men,61,19.72,Pietro MENNEA,ITA,1,1979-09-12,Ciudad de México (MEX),27.0,1952.0,200-metres,outdoor,senior
1979,sprints,women,1268.0,1770.0,Women's 200m,Outdoor Senior - Women,19,21.71,Marita KOCH,GDR,1,1979-06-10,Karl Marx Stadt (GDR),22.0,1957.0,200-metres,outdoor,senior
1980,sprints,men,1229.0,12918.0,Men's 200m,Outdoor Senior - Men,339,19.94,James SANFORD,USA,1,1980-04-19,"El Paso, TX (USA)",23.0,1957.0,200-metres,outdoor,senior
1980,sprints,women,1251.0,4200.0,Women's 400m,Outdoor Senior - Women,32,48.88,Marita KOCH,GDR,1,1980-07-28,"Lenin Stadium, Moskva (URS)",23.0,1957.0,400-metres,outdoor,senior
1981,sprints,men,1234.0,10173.0,Men's 50m indoor,Indoor Senior - Men,4,5.61,James SANFORD,USA,1,1981-02-20,"San Diego, CA (USA)",24.0,1957.0,50-metres,indoor,senior
1981,sprints,women,1262.0,2374.0,Women's 400m,Outdoor Senior - Women,16,48.61,Jarmila KRATOCHVÍLOVÁ,TCH,1,1981-09-06,"Stadio Olimpico, Roma (ITA)",30.0,1951.0,400-metres,outdoor,senior
1982,sprints,men,1206.0,37617.0,Men's 100m,Outdoor Senior - Men,1268,10.0,Carl LEWIS,USA,1f1,1982-05-15,"Modesto, CA (USA)",21.0,1961.0,100-metres,outdoor,senior
1982,sprints,women,1281.0,836.0,Women's 400m,Outdoor Senior - Women,4,48.16,Marita KOCH,GDR,1,1982-09-08,"Olympic Stadium, Athina (GRE)",25.0,1957.0,400-metres,outdoor,senior
1983,sprints,men,1260.0,2607.0,Men's 200m,Outdoor Senior - Men,77,19.75,Carl LEWIS,USA,1,1983-06-19,"Indianapolis, IN (USA)",22.0,1961.0,200-metres,outdoor,senior
1983,sprints,women,1288.0,573.0,Women's 400m,Outdoor Senior - Women,2,47.99,Jarmila KRATOCHVÍLOVÁ,TCH,1,1983-08-10,"Olympiastadion, Helsinki (FIN)",32.0,1951.0,400-metres,outdoor,senior
1984,sprints,men,1257.0,3105.0,Men's 200m,Outdoor Senior - Men,122,19.8,Carl LEWIS,USA,1,1984-08-08,"Memorial Coliseum, Los Angeles, CA (USA)",23.0,1961.0,200-metres,outdoor,senior
1984,sprints,women,1281.0,836.0,Women's 400m,Outdoor Senior - Women,4,48.16,Marita KOCH,GDR,1,1984-08-16,Praha (TCH),27.0,1957.0,400-metres,outdoor,senior
1985,sprints,men,1224.0,16499.0,Men's 55m indoor,Indoor Senior - Men,13,6.06,Fred JOHNSON,USA,1,1985-03-16,"Fargo, ND (USA)",23.0,1962.0,55-metres,indoor,senior
1985,sprints,women,1304.0,229.0,Women's 400m,Outdoor Senior - Women,1,47.60,Marita KOCH,GDR,1,1985-10-06,"Bruce Stadium, Canberra (AUS)",28.0,1957.0,400-metres,outdoor,senior
1986,sprints,men,1262.0,2374.0,Men's 55m indoor,Indoor Senior - Men,2,6.00,Lee MCRAE,USA,1,1986-03-14,"Oklahoma City, OK (USA)",20.0,1966.0,55-metres,indoor,senior
1986,sprints,women,1278.0,998.0,Women's 400m,Outdoor Senior - Women,6,48.22,Marita KOCH,GDR,1,1986-08-28,"Neckarstadion, Stuttgart (GER)",29.0,1957.0,400-metres,outdoor,senior
1987,sprints,men,1243.0,6300.0,Men's 400m,Outdoor Senior - Men,136,44.10,Butch REYNOLDS,USA,1,1987-05-03,"Columbus, OH (USA)",23.0,1964.0,400-metres,outdoor,senior
1987,sprints,women,1265.0,2090.0,Women's 200m,Outdoor Senior - Women,26,21.74,Silke MÖLLER,GDR,1,1987-09-03,"Stadio Olimpico, Roma (ITA)",23.0,1964.0,200-metres,outdoor,senior
1988,sprints,men,1301.0,272.0,Men's 400m,Outdoor Senior - Men,3,43.29,Butch REYNOLDS,USA,1f1,1988-08-17,"Letzigrund, Zürich (SUI)",24.0,1964.0,400-metres,outdoor,senior
1988,sprints,women,1314.0,131.0,Women's 100m,Outdoor Senior - Women,1,10.49,Florence GRIFFITH-JOYNER,USA,1qf1,1988-07-16,"Indianapolis, IN (USA)",29.0,1959.0,100-metres,outdoor,senior
1989,sprints,men,1231.0,11767.0,Men's 400m,Outdoor Senior - Men,262,44.27,Antonio PETTIGREW,USA,1,1989-06-17,"Houston, TX (USA)",22.0,1967.0,400-metres,outdoor,senior
1989,sprints,women,1248.0,4963.0,Women's 100m,Outdoor Senior - Women,91,10.78,Dawn SOWELL,USA,1,1989-06-03,"Provo, UT (USA)",23.0,1966.0,100-metres,outdoor,senior
1990,sprints,men,1246.0,5488.0,Men's 400m,Outdoor Senior - Men,116,44.06,Danny EVERETT,USA,1,1990-05-30,Sevilla (ESP),24.0,1966.0,400-metres,outdoor,senior
1990,sprints,women,1280.0,894.0,Women's 200m,Outdoor Senior - Women,14,21.66,Merlene OTTEY,JAM,1f1,1990-08-15,Zürich (SUI),30.0,1960.0,200-metres,outdoor,senior
1991,sprints,men,1255.0,3408.0,Men's 100m,Outdoor Senior - Men,139,9.86,Carl LEWIS,USA,1,1991-08-25,"National Stadium, Tokyo (JPN)",30.0,1961.0,100-metres,outdoor,senior
1991,sprints,women,1276.0,1106.0,Women's 200m,Outdoor Senior - Women,13,21.64,Merlene OTTEY,JAM,1,1991-09-13,Bruxelles (BEL),31.0,1960.0,200-metres,outdoor,senior
1992,sprints,men,1286.0,644.0,Men's 400m,Outdoor Senior - Men,11,43.5,Quincy WATTS,USA,1,1992-08-05,"Estadio Olímpico, Barcelona (ESP)",22.0,1970.0,400-metres,outdoor,senior
1992,sprints,women,1267.0,1856.0,Women's 200m,Outdoor Senior - Women,24,21.72,Gwen TORRENCE,USA,1sf2,1992-08-05,"Estadio Olímpico, Barcelona (ESP)",27.0,1965.0,200-metres,outdoor,senior
1993,sprints,men,1275.0,1167.0,Men's 400m,Outdoor Senior - Men,19,43.65,Michael JOHNSON,USA,1,1993-08-17,"Gottlieb-Daimler Stadion, Stuttgart (GER)",26.0,1967.0,400-metres,outdoor,senior
